line,rho1,rho2,rho3,rho4,rho5,rho6,rho7,rho8,rho9,rho10,rho11,rho12,rho13,rho14,rho15,rho16,rho17,rho18,rho19,rho20,rho21,rho22,rho23,rho24,rho25,rho26,rho27,rho28,rho29,rho30,rho31,rho32,rho33,rho34,rho35,rho36,rho37,rho38,rho39,rho40,rho41,rho42,rho43,rho44,rho45,rho46,rho47,rho48,rho49,rho50,rho51,rho52,rho53,rho54,rho55,rho56,rho57,rho58,rho59,rho60,rho61,rho62,rho63,rho64,rho65,rho66,rho67,rho68,rho69,origin
0,0.10614852,0.106774986,0.10541312,0.10535607,0.10258624,0.09952889,0.09747,0.09372816,0.09107873,0.089277394,0.086904675,0.08545765,0.083225265,0.08143576,0.07874586,0.07707823,0.07539097,0.07254191,0.07029794,0.068235956,0.06603445,0.063073345,0.059928443,0.057409108,0.055050075,0.05159771,0.048952676,0.045213144,0.04265509,0.040167734,0.03670628,0.033466436,0.030843584,0.027869651,0.024504123,0.020766133,0.01819022,0.015194136,0.0117069585,0.008731488,0.004799144,0.0033190912,0.0017263405,0.00031484105,-0.0016312639,-0.0031293677,-0.005027765,-0.006532125,-0.009387853,-0.010227973,-0.011770976,-0.013322994,-0.01517733,-0.016239103,-0.01852232,-0.019695899,-0.021593172,-0.023589186,-0.024830386,-0.026706595,-0.02869116,-0.030448567,-0.032239325,-0.0343721,-0.036156308,-0.03724723,-0.039268952,-0.041330613,-0.04282362,true
1,0.12664008,0.13021567,0.124072835,0.11846976,0.11220446,0.10622997,0.099501885,0.09515112,0.08861171,0.08760525,0.08424944,0.08126317,0.07928001,0.07661186,0.0740281,0.07068246,0.06858424,0.06499488,0.06280974,0.05972161,0.05635271,0.05373022,0.049965795,0.046718832,0.04463683,0.042020056,0.038200095,0.035890296,0.03226483,0.029402163,0.026538394,0.022473853,0.018776052,0.016838748,0.013391467,0.010473449,0.0070480523,0.0037170425,-0.00013780594,-0.0032470021,-0.0069130743,-0.007750213,-0.010048516,-0.011727396,-0.012679017,-0.015094971,-0.01688744,-0.018309053,-0.020519078,-0.0216991,-0.023302235,-0.025833875,-0.027320256,-0.028429637,-0.030766312,-0.03243717,-0.03456109,-0.03572367,-0.037920453,-0.03930113,-0.04141189,-0.044017017,-0.045734033,-0.047307808,-0.048693005,-0.04917905,-0.05262301,-0.054330654,-0.055655476,true
2,0.12934789,0.135118,0.1261643,0.11665855,0.10910624,0.10125716,0.095133334,0.08677158,0.0812935,0.07822504,0.074562505,0.07133587,0.06888108,0.06604199,0.06216736,0.059774287,0.056385137,0.052718733,0.04997437,0.047117274,0.043238692,0.040272694,0.036567416,0.03392312,0.030756019,0.027419787,0.024988826,0.020993367,0.017616184,0.0152083095,0.011615963,0.008477052,0.0053574275,0.0013385303,-0.0019203406,-0.0049582436,-0.008761505,-0.011955953,-0.015998686,-0.019519005,-0.021869771,-0.023958402,-0.025063954,-0.02781012,-0.029267132,-0.03033561,-0.03248058,-0.034374304,-0.035925414,-0.038115334,-0.039815407,-0.041141048,-0.043800697,-0.044842057,-0.047697756,-0.048130427,-0.050228603,-0.051409554,-0.053393684,-0.055675775,-0.056773514,-0.059650477,-0.060459882,-0.063134916,-0.06501614,-0.066081814,-0.06863292,-0.070660405,-0.07128827,true
3,0.10985732,0.115020595,0.10837737,0.10098927,0.09554876,0.09140984,0.08671095,0.081604764,0.078464806,0.075613916,0.07334929,0.07076943,0.06978974,0.06787703,0.06534576,0.06345976,0.06093453,0.058770586,0.05647363,0.054635953,0.05193374,0.04903645,0.046043094,0.043976467,0.04141708,0.037718605,0.034904383,0.0325839,0.030160736,0.026599795,0.023615748,0.021505246,0.017714612,0.015134379,0.012113662,0.008594075,0.005704134,0.0015599569,-0.0013225935,-0.004856674,-0.007488355,-0.009667208,-0.010746775,-0.012598533,-0.014553165,-0.016070658,-0.017827788,-0.019372514,-0.020824572,-0.022731978,-0.024523403,-0.025512595,-0.027670609,-0.029296132,-0.031360902,-0.03247646,-0.034769006,-0.03694657,-0.038015433,-0.03985844,-0.041001067,-0.043687172,-0.045242786,-0.04692773,-0.04900268,-0.050314598,-0.053290933,-0.054147206,-0.055725053,true
4,0.14711767,0.14811555,0.14168301,0.13564056,0.12885614,0.120658524,0.113240324,0.1081625,0.10103818,0.09855994,0.09432431,0.092436366,0.08880645,0.086193115,0.08298767,0.08037686,0.07709624,0.074339956,0.07080845,0.068383195,0.06455673,0.062683605,0.05874147,0.056026395,0.053196847,0.05016498,0.046138633,0.043413214,0.039511845,0.0364389,0.033484712,0.02946344,0.026190855,0.024624038,0.020012408,0.016931782,0.0132814245,0.01066033,0.0070819976,0.0031408756,-0.00065251044,-0.001859148,-0.003327853,-0.0058773383,-0.007605033,-0.009111183,-0.0097956825,-0.011561024,-0.014613511,-0.016076334,-0.017570186,-0.020601189,-0.021625917,-0.023308577,-0.024790384,-0.026417686,-0.028191129,-0.030337367,-0.03192737,-0.033421483,-0.03596375,-0.03787188,-0.040424235,-0.0416576,-0.04306177,-0.04408987,-0.046130124,-0.048749313,-0.05082342,true
5,0.11811835,0.11905082,0.1153489,0.11210479,0.10690753,0.10243663,0.0975012,0.091417335,0.08690315,0.084615275,0.08161994,0.08024715,0.07720757,0.0745035,0.071642265,0.069196366,0.06615757,0.06333977,0.060303386,0.058371536,0.055562,0.05188384,0.04830232,0.045624368,0.042014383,0.037988838,0.036225133,0.032570444,0.029026315,0.025974179,0.02364481,0.019940998,0.016309706,0.012961293,0.010330606,0.006796398,0.0038262866,-6.0908496e-06,-0.0031116083,-0.005735173,-0.0094958935,-0.01190689,-0.013069676,-0.015008939,-0.017392203,-0.018893894,-0.019879328,-0.022009475,-0.02404544,-0.025824685,-0.026791334,-0.028276015,-0.030413294,-0.031583365,-0.03379297,-0.034419835,-0.03753655,-0.038512938,-0.040553372,-0.042510044,-0.044648685,-0.04617744,-0.04719147,-0.050012533,-0.05132307,-0.053282417,-0.055283077,-0.057706468,-0.057941046,true
6,0.10704525,0.110417955,0.10546913,0.09933856,0.09474001,0.089350715,0.085078165,0.08054196,0.07577667,0.074079074,0.07193393,0.06906085,0.067535505,0.06441629,0.0620234,0.06000924,0.05782318,0.05501666,0.05238077,0.04994331,0.047249634,0.044987075,0.04219889,0.039338272,0.03591362,0.033359725,0.03042892,0.027635943,0.02405473,0.02073406,0.018210448,0.015169416,0.011258951,0.008354505,0.0056688013,0.0017522769,-0.0015269294,-0.003978464,-0.008320969,-0.01094857,-0.014661054,-0.01643668,-0.017836826,-0.019469038,-0.02181663,-0.023555981,-0.024640156,-0.026344223,-0.028438374,-0.030595507,-0.031800866,-0.033836536,-0.03524989,-0.037361752,-0.03874124,-0.04053105,-0.042502303,-0.044193164,-0.046381526,-0.048191473,-0.049188256,-0.05185236,-0.052621678,-0.05535671,-0.056907043,-0.059213817,-0.06066221,-0.06243686,-0.064786434,true
7,0.12066697,0.124760814,0.11825742,0.1123703,0.104790874,0.09868099,0.092858456,0.08756301,0.08164908,0.08038611,0.07643027,0.07462256,0.07167719,0.06936237,0.067624554,0.06460121,0.06179709,0.059103712,0.057125613,0.053541627,0.051275987,0.048854515,0.04615911,0.04380083,0.040313505,0.038402762,0.035808355,0.03280413,0.029355932,0.0267676,0.024490852,0.020706132,0.018548919,0.014647823,0.01174743,0.009515032,0.0052202446,0.0020685652,-0.0016083401,-0.0048641423,-0.0078105824,-0.008902689,-0.0108467955,-0.012352113,-0.0135590285,-0.015710557,-0.018020345,-0.018833939,-0.020911952,-0.022259217,-0.024315704,-0.026091725,-0.028166918,-0.029774109,-0.030989647,-0.033050414,-0.034344982,-0.03686427,-0.03853827,-0.04027944,-0.040975057,-0.043928012,-0.04578182,-0.047293477,-0.049033657,-0.04954092,-0.051845077,-0.053957216,-0.055302434,true
8,0.11613511,0.121462874,0.11316129,0.105422094,0.09897404,0.09199282,0.08621195,0.08133571,0.07637762,0.07432525,0.071785204,0.068418734,0.06663112,0.06389887,0.060838837,0.058677454,0.056879655,0.05345939,0.051363237,0.048623595,0.045813113,0.04279075,0.039717186,0.03704956,0.03425403,0.031529814,0.028000064,0.02556137,0.022058861,0.019645313,0.015821017,0.012744319,0.009699242,0.006858397,0.0034516728,-0.00019811606,-0.0035830159,-0.0070451824,-0.010430971,-0.0131311435,-0.01734921,-0.018670643,-0.020628106,-0.022178408,-0.023654874,-0.025574883,-0.02727074,-0.02824001,-0.030537449,-0.032408044,-0.034932315,-0.03645273,-0.037495993,-0.039532065,-0.04155509,-0.043227673,-0.04490984,-0.04662366,-0.048157044,-0.050426032,-0.052595578,-0.053611524,-0.055822685,-0.057061635,-0.059592303,-0.06168481,-0.062588,-0.065190114,-0.067376256,true
9,0.09628776,0.10051281,0.09519774,0.08963701,0.08554737,0.080423616,0.07731256,0.07169911,0.0692227,0.06608517,0.06434672,0.062144194,0.0603372,0.058842625,0.0556843,0.053698484,0.05158467,0.049190544,0.04639729,0.04479283,0.04149392,0.038612068,0.03565297,0.033704292,0.030989183,0.026615322,0.025008667,0.020908844,0.01897916,0.015643107,0.011981982,0.00982179,0.0066237575,0.0029302575,-0.00019463524,-0.0041917297,-0.006938804,-0.009933776,-0.0128769595,-0.016676953,-0.01981423,-0.022022037,-0.022857971,-0.024697624,-0.025989726,-0.028192868,-0.030401045,-0.03221057,-0.032837983,-0.03497212,-0.036518928,-0.03749427,-0.040556267,-0.040897276,-0.044360664,-0.04502628,-0.046444956,-0.048939217,-0.050365873,-0.051996864,-0.0536106,-0.055341646,-0.056995884,-0.059558015,-0.060760994,-0.062804095,-0.06478074,-0.06680349,-0.06823392,true
