line,rho1,rho2,rho3,rho4,rho5,rho6,rho7,rho8,rho9,rho10,rho11,rho12,rho13,rho14,rho15,rho16,rho17,rho18,rho19,rho20,rho21,rho22,rho23,rho24,rho25,rho26,rho27,rho28,rho29,rho30,rho31,rho32,rho33,rho34,rho35,rho36,rho37,rho38,rho39,rho40,rho41,rho42,rho43,rho44,rho45,rho46,rho47,rho48,rho49,rho50,rho51,rho52,rho53,rho54,rho55,rho56,rho57,rho58,rho59,rho60,rho61,rho62,rho63,rho64,rho65,rho66,rho67,rho68,rho69,origin
0,0.14173265,0.14925057,0.13667366,0.12696196,0.11822222,0.1098883,0.104280345,0.09735394,0.09147551,0.088778526,0.08636984,0.08312658,0.08089605,0.078712076,0.075375535,0.071436085,0.07070982,0.06735779,0.0648219,0.062020376,0.05965455,0.0561369,0.054035757,0.05150901,0.04792884,0.045031324,0.043149438,0.039481282,0.036549244,0.033133656,0.031627152,0.027763417,0.024622846,0.02115313,0.018723158,0.015766434,0.011842147,0.00959456,0.005138646,0.0027552661,-0.00066726655,-0.0023280894,-0.0047493577,-0.006154292,-0.007818919,-0.010535728,-0.011424211,-0.013199504,-0.015009657,-0.016637187,-0.018393673,-0.01968889,-0.021623395,-0.022591429,-0.025602493,-0.027181866,-0.028272873,-0.029882116,-0.03163271,-0.03447528,-0.035407547,-0.038253136,-0.03858366,-0.04022652,-0.042856842,-0.04465015,-0.046991773,-0.04854835,-0.05115731,true
1,0.10603411,0.10825214,0.104903854,0.10129272,0.09775463,0.0931883,0.08913617,0.084649645,0.08050722,0.07881301,0.07655872,0.07337589,0.07175319,0.07002191,0.06687997,0.0650805,0.06315353,0.060376287,0.057200626,0.053913187,0.05185838,0.048667815,0.046009287,0.043192104,0.040516086,0.036454815,0.03404798,0.030697614,0.027188431,0.024544673,0.021644402,0.01690176,0.014755556,0.01122678,0.008010769,0.00504935,0.00129154,-0.0023894552,-0.006111658,-0.008855983,-0.012571763,-0.013585169,-0.016596181,-0.01798785,-0.019253476,-0.020816913,-0.023615045,-0.024541147,-0.026362501,-0.027846651,-0.030359155,-0.031540867,-0.03316067,-0.035087395,-0.037546962,-0.03888697,-0.03959909,-0.041689325,-0.044016,-0.04619167,-0.04826753,-0.049951408,-0.050991606,-0.052614875,-0.05443247,-0.056218605,-0.0587293,-0.05938953,-0.06255742,true
2,0.09103735,0.09638261,0.08934459,0.083140165,0.07796593,0.07292259,0.06853806,0.0646615,0.06057583,0.058124624,0.055718906,0.053962033,0.051289696,0.048603825,0.04600762,0.04418622,0.04136018,0.038950603,0.035282683,0.033320066,0.030376779,0.027743995,0.025311725,0.021511693,0.017902182,0.015360665,0.012008316,0.008839546,0.0068111643,0.003364848,-0.0007632766,-0.0038172407,-0.0065912,-0.01079178,-0.014289865,-0.017085461,-0.020313216,-0.023845185,-0.027063388,-0.031385552,-0.034476843,-0.036079615,-0.037890896,-0.039492067,-0.041626215,-0.04297538,-0.04493977,-0.045159306,-0.048658133,-0.050399013,-0.052021947,-0.05343218,-0.055665936,-0.05744601,-0.05861447,-0.061249845,-0.063267924,-0.06457465,-0.066620044,-0.067821875,-0.06978015,-0.072607175,-0.07355632,-0.076562576,-0.07724734,-0.07884918,-0.080664665,-0.083080545,-0.08490172,true
3,0.08512577,0.08633684,0.08609367,0.084194094,0.08183579,0.07968589,0.07700298,0.075060405,0.07146507,0.07070466,0.06888695,0.067391776,0.06576079,0.06336607,0.06300616,0.06160193,0.05887352,0.05641117,0.054828323,0.05311164,0.049999963,0.048933547,0.045082703,0.04392866,0.040788934,0.037910793,0.035318837,0.03301984,0.030458894,0.027060987,0.023623148,0.021532092,0.019457763,0.015957441,0.012542699,0.0089917155,0.0066124876,0.0035602916,0.00029421155,-0.0030921106,-0.005449046,-0.008509614,-0.0092048105,-0.011149518,-0.013325211,-0.013325175,-0.015832057,-0.016564827,-0.019425992,-0.020825626,-0.022495236,-0.024138406,-0.02596667,-0.027492,-0.028541949,-0.03037296,-0.033359494,-0.034831487,-0.03617532,-0.03794124,-0.03920719,-0.042022526,-0.04371217,-0.04539895,-0.046724077,-0.04852997,-0.050010175,-0.052511126,-0.053654693,true
4,0.0946333,0.097607955,0.095726654,0.09219343,0.088396266,0.085860364,0.08141763,0.0784323,0.07446179,0.07310374,0.07108679,0.06932436,0.06763032,0.06558375,0.063536875,0.06082584,0.05796781,0.05594851,0.053888075,0.052193888,0.0487772,0.046318546,0.043553926,0.040220678,0.0381815,0.035628513,0.031391174,0.028500868,0.025693135,0.02338977,0.018871214,0.017074954,0.01356775,0.010840965,0.006904991,0.0038233302,0.00096259546,-0.0025092233,-0.0064247,-0.009433345,-0.012923777,-0.014467502,-0.016344065,-0.018213846,-0.019319616,-0.02147931,-0.02212866,-0.02536748,-0.026503079,-0.02849846,-0.02991561,-0.031903215,-0.03421989,-0.035458956,-0.0372875,-0.039167836,-0.04020546,-0.042730257,-0.044585343,-0.046008617,-0.04757442,-0.04971534,-0.05129436,-0.053140916,-0.055840377,-0.057232615,-0.05866676,-0.060853787,-0.06187059,true
5,0.103660665,0.10956894,0.101009764,0.09469245,0.09041235,0.085044235,0.08055029,0.07710365,0.07198021,0.06956457,0.06703141,0.06638238,0.063538015,0.059473928,0.057098646,0.05520407,0.05260334,0.04892683,0.046184756,0.044474397,0.041088745,0.038039815,0.035686143,0.032268,0.02818599,0.025807414,0.022073815,0.019158691,0.016830249,0.012958119,0.009988162,0.0062425304,0.0026329868,-0.00021680677,-0.0041314103,-0.0075967386,-0.010686446,-0.013752148,-0.017482352,-0.021088183,-0.024054114,-0.025586206,-0.027956093,-0.029933797,-0.030968353,-0.033317525,-0.033785734,-0.03595503,-0.03899403,-0.039983578,-0.041495323,-0.042664196,-0.04555483,-0.04670535,-0.048639808,-0.05134131,-0.052331388,-0.053804263,-0.055941477,-0.05688004,-0.059434574,-0.060884494,-0.063192025,-0.064577065,-0.06661492,-0.068761386,-0.07047001,-0.07260338,-0.074461624,true
6,0.105119534,0.1065775,0.10528279,0.10127644,0.09549034,0.0910212,0.08667025,0.08078539,0.07510649,0.07236267,0.06977501,0.06708049,0.0648966,0.061674777,0.059495166,0.05625718,0.054139953,0.051064216,0.048054017,0.04497175,0.041303612,0.038666684,0.0352221,0.03310269,0.028724175,0.026427634,0.023194287,0.019473273,0.016220128,0.013065324,0.010281544,0.006157783,0.0035673818,0.00081829634,-0.002503045,-0.0059418483,-0.009046212,-0.012664929,-0.01603735,-0.020125225,-0.022286674,-0.024706692,-0.026252778,-0.028119275,-0.030315496,-0.03153504,-0.034417853,-0.034884367,-0.03714393,-0.038241472,-0.040442795,-0.041559905,-0.044401135,-0.045492403,-0.047545414,-0.048742596,-0.050939996,-0.053204242,-0.054917004,-0.05646055,-0.05872621,-0.06045878,-0.061975077,-0.06330685,-0.06548086,-0.06742781,-0.06866555,-0.070894815,-0.07326557,true
7,0.1169487,0.12149165,0.11725629,0.11007774,0.10430184,0.098429166,0.09248937,0.087360084,0.081156366,0.07939202,0.076390654,0.07433794,0.07192434,0.06917465,0.06683284,0.063747495,0.061653323,0.05847118,0.056552336,0.053708464,0.05028925,0.048515342,0.044858903,0.043155856,0.038583495,0.035986684,0.033178337,0.0300774,0.026652537,0.02309846,0.02045055,0.018275723,0.014405591,0.011998946,0.00899728,0.005962504,0.0023041465,-0.00026432984,-0.0044524884,-0.007384803,-0.010991337,-0.011716535,-0.014116293,-0.015966106,-0.017914075,-0.01906138,-0.021070983,-0.022370685,-0.02439881,-0.026162531,-0.027371489,-0.029453255,-0.031178568,-0.032089144,-0.03418066,-0.036019955,-0.037518702,-0.03942269,-0.04173199,-0.043532595,-0.0456318,-0.04750459,-0.048339047,-0.04932999,-0.051930457,-0.054603726,-0.056043,-0.05764901,-0.0602208,true
8,0.109098904,0.11257216,0.10814631,0.10405434,0.10028833,0.09552578,0.09136661,0.0863588,0.08287087,0.0802698,0.077636756,0.074794166,0.07220234,0.070325494,0.06696395,0.06399951,0.06241955,0.059445612,0.056181893,0.053291004,0.050530337,0.047246866,0.04428901,0.04092595,0.0373817,0.034054134,0.03167882,0.028217109,0.024840789,0.020801472,0.018139418,0.013637069,0.010461859,0.007620244,0.0044621057,0.0016434705,-0.0031264974,-0.005674051,-0.010125333,-0.012755933,-0.016878234,-0.017624084,-0.020306151,-0.021478599,-0.023329336,-0.025507051,-0.027211405,-0.029296659,-0.030147767,-0.032814294,-0.03351688,-0.0360826,-0.037497688,-0.038580664,-0.04223034,-0.043236878,-0.04411845,-0.046341006,-0.048824433,-0.05016756,-0.052963696,-0.053679783,-0.055310972,-0.05685792,-0.059088074,-0.061302997,-0.063402444,-0.06417793,-0.066862434,true
9,0.11425339,0.119968005,0.11297179,0.10713726,0.1012446,0.09624555,0.09148151,0.087849475,0.082612984,0.07975065,0.07790432,0.07560248,0.07453707,0.07160884,0.06902227,0.066247754,0.06367184,0.061532937,0.058571026,0.055520184,0.053601988,0.050096676,0.04787437,0.045120887,0.042830646,0.03960589,0.037363708,0.03316655,0.030386612,0.027829954,0.02476418,0.02110679,0.018133048,0.015781116,0.012343067,0.009868139,0.0056676846,0.002908823,-0.0009668777,-0.0038793785,-0.007327894,-0.0086152665,-0.010196311,-0.012508675,-0.0135601275,-0.01551242,-0.016952641,-0.018661715,-0.020742945,-0.02194789,-0.023970706,-0.025264148,-0.02684408,-0.029236188,-0.029894758,-0.0323857,-0.033018034,-0.035435934,-0.036674306,-0.03923615,-0.04082606,-0.042551942,-0.04410402,-0.04627277,-0.047123093,-0.048499785,-0.051612727,-0.052714147,-0.054534994,true
