line,rho1,rho2,rho3,rho4,rho5,rho6,rho7,rho8,rho9,rho10,rho11,rho12,rho13,rho14,rho15,rho16,rho17,rho18,rho19,rho20,rho21,rho22,rho23,rho24,rho25,rho26,rho27,rho28,rho29,rho30,rho31,rho32,rho33,rho34,rho35,rho36,rho37,rho38,rho39,rho40,rho41,rho42,rho43,rho44,rho45,rho46,rho47,rho48,rho49,rho50,rho51,rho52,rho53,rho54,rho55,rho56,rho57,rho58,rho59,rho60,rho61,rho62,rho63,rho64,rho65,rho66,rho67,rho68,rho69,origin
0,0.123012245,0.12730052,0.1199823,0.11286346,0.10686549,0.10111099,0.09557891,0.09166688,0.086483695,0.08427602,0.08219118,0.08055801,0.07758723,0.0756568,0.072766274,0.070417315,0.068136066,0.06532464,0.063205115,0.059615765,0.05862935,0.054857414,0.052279197,0.0488419,0.046425298,0.043571837,0.04107555,0.037103035,0.03372613,0.030875713,0.027580937,0.023839846,0.021016179,0.017512234,0.013565,0.010158271,0.0063973926,0.0027671286,-0.0009477441,-0.0038170153,-0.007138721,-0.009335933,-0.011069991,-0.012182915,-0.014997616,-0.016814059,-0.017243406,-0.019867789,-0.021734212,-0.023599084,-0.024802811,-0.026922178,-0.029032107,-0.031222688,-0.031767894,-0.034679405,-0.036756456,-0.03829203,-0.040691487,-0.04226969,-0.04418453,-0.04615917,-0.048100464,-0.049980506,-0.051600136,-0.05310153,-0.05528813,-0.0570974,-0.059537236,true
1,0.11029418,0.11297787,0.110146634,0.105200306,0.101624355,0.09830463,0.094761975,0.09033006,0.086564355,0.085072644,0.08256384,0.08111654,0.079080194,0.077167176,0.07441521,0.07235113,0.070549086,0.06812526,0.065986075,0.063242696,0.061298393,0.057841353,0.056132175,0.052823607,0.050627407,0.047239475,0.044661246,0.04183755,0.038636476,0.036275987,0.03291127,0.029799234,0.02730522,0.023578126,0.020716235,0.017746985,0.014572546,0.011985221,0.008481177,0.0051540383,0.0019816242,0.0010300111,-0.0016158794,-0.0032973634,-0.004158626,-0.0060547,-0.008257581,-0.009132777,-0.011688171,-0.013907113,-0.014669821,-0.016207794,-0.018018262,-0.020034535,-0.02155365,-0.023024928,-0.025186362,-0.02632578,-0.028650004,-0.029551342,-0.032028295,-0.034402624,-0.03573244,-0.03744602,-0.038917966,-0.04091662,-0.042577334,-0.043962352,-0.046441205,true
2,0.116334885,0.120604515,0.114814624,0.109122366,0.10405956,0.099393636,0.095098756,0.09026776,0.08580169,0.083142646,0.08050831,0.07820078,0.075675294,0.073899746,0.071772836,0.06923007,0.06664608,0.064521,0.061747838,0.058793776,0.05658208,0.054519203,0.051756907,0.048274554,0.045945555,0.043934464,0.039225064,0.03651674,0.033404082,0.030674681,0.027826965,0.025324006,0.021967113,0.018709093,0.014725715,0.011918374,0.008419456,0.006252173,0.0024367282,-0.00050922576,-0.0044755456,-0.0056617,-0.0074058454,-0.008908552,-0.010959811,-0.012809077,-0.013976654,-0.015660368,-0.017692875,-0.019482959,-0.022011288,-0.023400137,-0.025061883,-0.026717406,-0.027840283,-0.030057387,-0.031727176,-0.03316002,-0.035832543,-0.037569627,-0.0385274,-0.040555093,-0.04301752,-0.04412414,-0.045718193,-0.047230165,-0.04983207,-0.051316712,-0.053367153,true
3,0.114150435,0.11699234,0.11322098,0.10899474,0.105257995,0.09965315,0.09558128,0.09118366,0.08715855,0.0848638,0.081670135,0.08046947,0.07769214,0.07523712,0.073287666,0.07112093,0.06803721,0.06573254,0.062781855,0.060217187,0.057366543,0.05452295,0.051835507,0.049498357,0.046108387,0.0428942,0.039887212,0.036947183,0.03370326,0.030355537,0.027115433,0.024223432,0.020150091,0.017880173,0.014614854,0.010847335,0.00790089,0.0052425475,0.0011167922,-0.0025045406,-0.005800159,-0.006927943,-0.009757118,-0.011077109,-0.012454492,-0.013852969,-0.015872413,-0.017977908,-0.019743713,-0.021224905,-0.022711841,-0.024812564,-0.02690078,-0.028404208,-0.030994155,-0.031786963,-0.033430792,-0.035636265,-0.0378333,-0.039100125,-0.04097992,-0.042497505,-0.04465115,-0.046656046,-0.047876254,-0.049379174,-0.051662005,-0.053961206,-0.055773042,true
4,0.11759445,0.11885165,0.11611133,0.11253806,0.106494285,0.10070304,0.096571125,0.09118099,0.086266495,0.083797626,0.08207604,0.079917,0.077025935,0.07456323,0.072735414,0.069800854,0.06753262,0.06371525,0.061598696,0.059711576,0.05666171,0.05348879,0.051127683,0.04847102,0.044982344,0.04279542,0.040104557,0.036471225,0.03339325,0.029418051,0.027393926,0.024604537,0.020303529,0.018548021,0.014877629,0.011927947,0.008783538,0.006006868,0.002763771,-0.0011685146,-0.0032984312,-0.0055555413,-0.0074036717,-0.009023097,-0.011130151,-0.011913866,-0.013528192,-0.015707564,-0.017079111,-0.019000381,-0.020960854,-0.022645598,-0.025180392,-0.025961978,-0.027869109,-0.028545158,-0.031185078,-0.032912042,-0.034317072,-0.03612262,-0.0389122,-0.03981584,-0.041731786,-0.04386466,-0.044967823,-0.04733029,-0.04873801,-0.050444752,-0.051889777,true
5,0.110220514,0.11291976,0.1093604,0.10492543,0.09920965,0.09355695,0.08872153,0.08432939,0.079522654,0.07688502,0.07434468,0.07156398,0.07033823,0.067712754,0.06544681,0.062653534,0.060207687,0.0572462,0.054367773,0.051959258,0.04914534,0.046559516,0.043742407,0.04051505,0.037852135,0.03457111,0.032632783,0.02910435,0.025595091,0.02276369,0.020309268,0.016466185,0.013516465,0.010732424,0.007966694,0.003963914,0.0012917491,-0.002025282,-0.005444774,-0.009028066,-0.011190647,-0.013636226,-0.015373946,-0.01653181,-0.01885315,-0.019666558,-0.021711426,-0.023732144,-0.025108248,-0.026617724,-0.028398443,-0.030116512,-0.031563625,-0.033354845,-0.035044987,-0.036965773,-0.038587756,-0.04076286,-0.041344926,-0.043450974,-0.04576292,-0.046844907,-0.048527837,-0.05135021,-0.052042864,-0.05442826,-0.055473205,-0.05782633,-0.059737515,true
6,0.11553261,0.116843104,0.11320216,0.10934816,0.1024043,0.09821923,0.09346562,0.08822091,0.0827755,0.08080148,0.078908555,0.07558229,0.0740333,0.07080946,0.068298906,0.06548798,0.063092895,0.060632523,0.05781916,0.055361625,0.05239278,0.049077056,0.0461881,0.042142704,0.040745325,0.03759662,0.03411431,0.031164175,0.02767817,0.025249809,0.021795854,0.018216986,0.015459627,0.012681674,0.008873896,0.005474125,0.0023292163,-0.0018518222,-0.0040128096,-0.0077443086,-0.011331093,-0.013608288,-0.014103455,-0.016006898,-0.017886534,-0.01972359,-0.021947572,-0.023021288,-0.024215821,-0.027054165,-0.02865161,-0.030176483,-0.03187524,-0.032788083,-0.03473823,-0.037522934,-0.039027207,-0.040378496,-0.04258724,-0.04373612,-0.04643014,-0.048665907,-0.04921707,-0.05121982,-0.05303964,-0.055815343,-0.05750283,-0.05883986,-0.060811225,true
7,0.13293254,0.1351739,0.12840874,0.12267094,0.11611249,0.110276155,0.10340381,0.09819026,0.09200127,0.08958603,0.08657013,0.08528877,0.08219256,0.07957071,0.075524434,0.07297644,0.07032541,0.06721954,0.06400417,0.06065828,0.058253556,0.055299327,0.0521996,0.048538577,0.04571738,0.04255958,0.039175548,0.036732223,0.032502882,0.029665373,0.025950294,0.02209311,0.018996349,0.015350892,0.01108906,0.008525349,0.0051919194,0.0022792905,-0.0015042084,-0.005112592,-0.008866012,-0.009914536,-0.012393188,-0.013753691,-0.015782319,-0.017319871,-0.019032428,-0.02102732,-0.02280491,-0.025419619,-0.025745876,-0.028097337,-0.029944591,-0.031563334,-0.03366222,-0.036079742,-0.03753457,-0.039216798,-0.040789574,-0.042862635,-0.044717275,-0.047034323,-0.048657797,-0.049882796,-0.052289203,-0.05378941,-0.055652637,-0.05717841,-0.060099635,true
8,0.10653001,0.10751149,0.104469344,0.10225601,0.096647754,0.091884315,0.0875799,0.083423585,0.07722566,0.07614509,0.07377087,0.07266495,0.06989288,0.06770915,0.0656157,0.06241299,0.060387507,0.056726187,0.05563608,0.052644495,0.050147973,0.046826,0.04455906,0.04076025,0.0387182,0.035589937,0.032818384,0.029848188,0.026789412,0.023074627,0.019887839,0.017395753,0.013410503,0.0111499075,0.0075244876,0.004712999,0.0018467065,-0.0026832717,-0.004902882,-0.008206002,-0.010963183,-0.01354984,-0.015043548,-0.016341597,-0.018221457,-0.019782541,-0.021901203,-0.023808707,-0.02518988,-0.026867982,-0.028266177,-0.030247843,-0.03175591,-0.032803096,-0.03566529,-0.03660295,-0.038643796,-0.0408367,-0.042325523,-0.044217482,-0.046876177,-0.0478706,-0.049525674,-0.05185931,-0.052796945,-0.054822512,-0.056428798,-0.058746748,-0.06061447,true
9,0.098117076,0.10072495,0.09787686,0.09328437,0.08897167,0.08518844,0.08086925,0.076687485,0.072007366,0.07091442,0.068533145,0.066818364,0.06458429,0.061822973,0.060620055,0.057859164,0.055348963,0.05290451,0.050356403,0.04742994,0.045658812,0.042043477,0.039312422,0.0373153,0.03413928,0.031134313,0.028228506,0.02543837,0.022076175,0.018959122,0.015983611,0.013617805,0.009883215,0.0076974435,0.003796861,6.5031694e-05,-0.0023189932,-0.0059271306,-0.0088453125,-0.013138089,-0.015980627,-0.017017404,-0.019030334,-0.020782538,-0.023070617,-0.024426838,-0.026285263,-0.0272462,-0.029229555,-0.03097123,-0.032241914,-0.03394278,-0.036304314,-0.03803229,-0.03970953,-0.04117118,-0.04326612,-0.04548384,-0.047499906,-0.048328694,-0.050040178,-0.051987275,-0.053987227,-0.0555066,-0.05670674,-0.058728546,-0.060778297,-0.06356925,-0.0645669,true
