line,rho1,rho2,rho3,rho4,rho5,rho6,rho7,rho8,rho9,rho10,rho11,rho12,rho13,rho14,rho15,rho16,rho17,rho18,rho19,rho20,rho21,rho22,rho23,rho24,rho25,rho26,rho27,rho28,rho29,rho30,rho31,rho32,rho33,rho34,rho35,rho36,rho37,rho38,rho39,rho40,rho41,rho42,rho43,rho44,rho45,rho46,rho47,rho48,rho49,rho50,rho51,rho52,rho53,rho54,rho55,rho56,rho57,rho58,rho59,rho60,rho61,rho62,rho63,rho64,rho65,rho66,rho67,rho68,rho69,origin
0,0.13532555,0.13641572,0.13139181,0.1261938,0.117949024,0.112086624,0.10439813,0.09791642,0.0908578,0.088562176,0.086007096,0.08371883,0.07890865,0.077501096,0.073539786,0.07150028,0.06788581,0.06479513,0.06150651,0.058714382,0.0560452,0.052597858,0.048516203,0.047070753,0.043426096,0.03976734,0.036555856,0.03350697,0.030248351,0.028059782,0.02418989,0.021326726,0.017506797,0.014701676,0.012048582,0.008408336,0.0046739504,0.0012997203,-0.0016933414,-0.004565736,-0.00771226,-0.009548393,-0.011519306,-0.013009579,-0.014892636,-0.017007217,-0.018139886,-0.020632267,-0.021781119,-0.023056576,-0.025049869,-0.027484488,-0.028793663,-0.03136271,-0.0309379,-0.034914974,-0.03531886,-0.037855245,-0.039201677,-0.04052208,-0.041430928,-0.044112768,-0.04628531,-0.04828615,-0.0507095,-0.050308514,-0.053649556,-0.055799574,-0.055837065,true
1,0.11239596,0.1149759,0.11083719,0.105789,0.100697145,0.09446533,0.09040565,0.08595703,0.08057006,0.07838866,0.07631992,0.07421175,0.07142834,0.06868662,0.06533529,0.06306208,0.060240146,0.05802272,0.054270923,0.051828507,0.049667686,0.04621339,0.042746164,0.040116847,0.03760515,0.034481883,0.031029645,0.028841678,0.024439797,0.02219324,0.018061448,0.014749772,0.0114636,0.009204687,0.0048677376,0.0019612163,-0.001621963,-0.004795313,-0.0079898,-0.010938424,-0.0138942385,-0.016408108,-0.017536875,-0.019856166,-0.021424323,-0.022711683,-0.02447228,-0.027067272,-0.027770223,-0.029523334,-0.031099632,-0.03289583,-0.03545816,-0.036250733,-0.037901185,-0.040724818,-0.042380545,-0.043135095,-0.0451148,-0.046268992,-0.049069967,-0.05023519,-0.052177407,-0.05483728,-0.056662448,-0.057301696,-0.060107272,-0.061252125,-0.06337956,true
2,0.12651457,0.13242407,0.12177113,0.1136484,0.105339445,0.100129776,0.09230517,0.08667112,0.081286296,0.07818444,0.076104335,0.07247123,0.06988546,0.06779835,0.063974455,0.061319895,0.059662003,0.05618546,0.052767627,0.04934213,0.046266098,0.043289088,0.04078355,0.038050406,0.03446941,0.03048281,0.027568907,0.025214877,0.021030251,0.017905736,0.015145349,0.011335542,0.007979676,0.0040308344,0.00016978849,-0.0022905525,-0.0054028663,-0.008927567,-0.012908291,-0.017241675,-0.021738093,-0.022414073,-0.02416448,-0.025604378,-0.02785912,-0.029409777,-0.031338748,-0.03337432,-0.03496526,-0.03664639,-0.038245738,-0.040309638,-0.042685315,-0.0438438,-0.046507955,-0.047727734,-0.049388353,-0.05169139,-0.053512726,-0.055516534,-0.05747009,-0.059139397,-0.060579136,-0.06289869,-0.0650623,-0.066186145,-0.068349235,-0.07053867,-0.07291522,true
3,0.095080234,0.09779136,0.0946835,0.090935044,0.08721502,0.082399234,0.079068445,0.075360775,0.07223612,0.07016149,0.06721003,0.06542566,0.06344693,0.061335605,0.05927228,0.05549361,0.054357667,0.051398534,0.04977283,0.046015557,0.04306923,0.040930286,0.038112193,0.03468532,0.031971827,0.028481986,0.026577024,0.02210741,0.020256612,0.0158178,0.013643135,0.01033964,0.0075213206,0.0028213265,0.00022534188,-0.0033330005,-0.007156532,-0.010048868,-0.012965573,-0.01776472,-0.021076344,-0.022067674,-0.022906356,-0.025422022,-0.027715959,-0.029045,-0.030722879,-0.032095987,-0.033360206,-0.03558121,-0.037511818,-0.03980898,-0.041077614,-0.042609807,-0.044257976,-0.045338333,-0.047948815,-0.049414586,-0.052013814,-0.053039823,-0.05474103,-0.05671694,-0.059088454,-0.06091127,-0.06193415,-0.06463223,-0.06557688,-0.06755235,-0.069937654,true
4,0.106026396,0.10855827,0.10356943,0.09985728,0.0948879,0.09135115,0.08725436,0.083441004,0.07913273,0.077154085,0.07504829,0.072298676,0.070872,0.06830762,0.06552278,0.063865766,0.060942248,0.05888263,0.055912457,0.053299617,0.050760657,0.04747598,0.04532739,0.042195905,0.03934046,0.03641559,0.033118237,0.030321114,0.026827209,0.023913506,0.020539194,0.017331958,0.013504299,0.010897799,0.007188363,0.0034376355,0.0007568435,-0.0035027321,-0.006325404,-0.009713349,-0.013083638,-0.015303818,-0.01688791,-0.01812673,-0.01996444,-0.021328263,-0.023344293,-0.025379153,-0.027501138,-0.028661387,-0.03066022,-0.03210501,-0.033633087,-0.035814907,-0.037235595,-0.03924759,-0.04087376,-0.042781353,-0.044680323,-0.046674933,-0.048336107,-0.050332453,-0.051592547,-0.05330671,-0.055873357,-0.057071235,-0.05927981,-0.061317332,-0.06248656,true
5,0.1167748,0.11981147,0.11400636,0.10772175,0.10229,0.096556485,0.08993611,0.08492917,0.079506926,0.077948764,0.07437538,0.07158323,0.06863313,0.06632933,0.06314802,0.060432572,0.058608104,0.055509154,0.052820995,0.049952045,0.047460314,0.043167897,0.040776625,0.038355626,0.035268575,0.032610133,0.029412054,0.026895173,0.023745572,0.020417385,0.017105216,0.013782572,0.011349719,0.007851166,0.0048385235,0.002324896,-0.0016184584,-0.0041825213,-0.007358324,-0.011012686,-0.013247623,-0.015499097,-0.017561536,-0.01888347,-0.02085495,-0.02158267,-0.023295444,-0.025597086,-0.026403664,-0.028860888,-0.030536104,-0.032264434,-0.034187984,-0.03610006,-0.038249716,-0.03908926,-0.040797863,-0.043280747,-0.044464737,-0.04647067,-0.048095837,-0.049415573,-0.05136073,-0.0533225,-0.053868786,-0.056042988,-0.057686567,-0.060070336,-0.06148737,true
6,0.113619134,0.115762,0.11211835,0.10656271,0.10126186,0.09625479,0.091205254,0.08570253,0.08026247,0.07860248,0.074994884,0.07288221,0.07041269,0.067412704,0.06578556,0.06311718,0.059532493,0.057106245,0.055063657,0.052109808,0.04909238,0.045654774,0.043530617,0.040732853,0.03689216,0.03508594,0.031796526,0.028159766,0.026046425,0.021962782,0.018991629,0.015739504,0.012997059,0.009637582,0.0060605262,0.0030638743,-0.0001556687,-0.0034772437,-0.0069374144,-0.010222454,-0.013302279,-0.015402612,-0.016794771,-0.01882137,-0.021137888,-0.021978524,-0.024345888,-0.02536569,-0.027856363,-0.029695282,-0.030909508,-0.0329853,-0.03406557,-0.03633827,-0.03860469,-0.039529555,-0.041383468,-0.044336718,-0.04529919,-0.04793539,-0.048415985,-0.05101552,-0.05248251,-0.054322846,-0.055776633,-0.057639282,-0.059556603,-0.061545737,-0.063011535,true
7,0.115937814,0.120268665,0.11487535,0.108493544,0.10255395,0.09553145,0.0907588,0.085961714,0.081381716,0.07884639,0.07669768,0.07451815,0.071872,0.06884092,0.06756772,0.065109655,0.06203571,0.060539763,0.05725465,0.05461267,0.05282402,0.049920693,0.046604685,0.044656273,0.041732114,0.03838399,0.035651717,0.03239211,0.029760651,0.027421989,0.023412593,0.02065791,0.017812714,0.014790641,0.011857849,0.008092233,0.0054013156,0.0011071842,-0.0011104564,-0.0043080333,-0.0070479233,-0.009710177,-0.011783085,-0.013174859,-0.014692918,-0.016843095,-0.018219016,-0.019764867,-0.021607531,-0.022770459,-0.024315115,-0.026595505,-0.029525913,-0.029141648,-0.031752624,-0.03339856,-0.035382014,-0.037280977,-0.03909236,-0.041188803,-0.042153418,-0.04418741,-0.04598544,-0.048583902,-0.050117895,-0.051240046,-0.054248136,-0.055308267,-0.057630755,true
8,0.114622444,0.11957172,0.111951455,0.10648291,0.10130804,0.09697741,0.09292373,0.08833017,0.08281849,0.080968305,0.07907734,0.0757046,0.074783914,0.07191092,0.06952661,0.06667032,0.06511427,0.062419105,0.05919406,0.05635595,0.052812684,0.05090589,0.047814876,0.044929948,0.041557312,0.038931098,0.03550147,0.032813974,0.029459279,0.026161466,0.02328992,0.01940247,0.016057525,0.012808901,0.010234855,0.006334327,0.003498409,-0.0002030041,-0.0038345056,-0.0070554786,-0.010503395,-0.011779261,-0.013920565,-0.015586576,-0.018141251,-0.01897388,-0.021304503,-0.022810983,-0.025346374,-0.025619464,-0.027539428,-0.029447477,-0.031934988,-0.033440255,-0.03544911,-0.036316868,-0.03919437,-0.04018685,-0.04249781,-0.044455443,-0.045841042,-0.047941487,-0.048964765,-0.051426105,-0.053030968,-0.055586204,-0.057657186,-0.059188038,-0.060494475,true
9,0.09754433,0.098500535,0.096988685,0.09539635,0.092456274,0.08890772,0.085334554,0.081793636,0.078866795,0.07779893,0.07462898,0.07281511,0.07057761,0.06859942,0.06622899,0.06472208,0.06291414,0.0594973,0.057459235,0.05396929,0.05164106,0.04888735,0.04644348,0.04284294,0.040104978,0.037441414,0.034236196,0.030330043,0.028264675,0.024113791,0.021439606,0.01833939,0.015121654,0.01155692,0.007990406,0.004482477,0.001253589,-0.0025058314,-0.0050574364,-0.008556057,-0.012324263,-0.014073749,-0.01572892,-0.017872978,-0.019380221,-0.020567857,-0.022728305,-0.024281934,-0.026380455,-0.028204335,-0.029607113,-0.032241,-0.033024564,-0.035126902,-0.03719887,-0.03772212,-0.04035288,-0.041999146,-0.044762842,-0.04600569,-0.04800981,-0.04869042,-0.051554848,-0.053483136,-0.054908864,-0.05649604,-0.05829757,-0.06043974,-0.0627149,true
